,c1,c2
0,gad,about
1,knock,about
2,turn,about
3,race,about
4,walk,about
5,run,about
6,round,about
7,roust,about
8,lay,about
9,walk,abouts
10,roust,abouts
11,run,abouts
12,turn,abouts
13,round,abouts
14,where,abouts
15,over,abundance
16,head,ache
17,belly,ache
18,heart,ache
19,ear,ache
20,back,ache
21,stomach,ache
22,tooth,ache
23,head,aches
24,heart,aches
25,belly,aches
26,ear,aches
27,stomach,aches
28,tooth,aches
29,back,aches
30,over,achiever
31,under,achiever
32,under,achievers
33,over,achievers
34,wise,acre
35,wise,acres
36,over,acting
37,play,acting
38,over,activity
39,play,actor
40,sides,addle
41,packs,addle
42,sides,addles
43,packs,addles
44,here,after
45,mid,afternoon
46,here,afters
47,over,age
48,news,agent
49,news,agents
50,over,ages
51,barm,aid
52,barm,aids
53,lugs,ail
54,gaffs,ail
55,tops,ail
56,pent,ail
57,paras,ail
58,stays,ail
59,heads,ail
60,triplet,ail
61,mains,ail
62,pint,ail
63,paras,ailing
64,lugs,ails
65,mains,ails
66,tops,ails
67,mid,air
68,rep,airman
69,rep,airmen
70,wholes,ale
71,wholes,ales
72,catch,all
73,carry,all
74,cover,all
75,hold,all
76,over,all
77,sing,along
78,tag,along
79,fired,amp
80,choked,amp
81,greens,and
82,over,anxiety
83,may,apple
84,bake,apple
85,crab,apple
86,pine,apple
87,pine,apples
88,over,appraisal
89,yard,arm
90,fire,arm
91,yard,arms
92,fire,arms
93,turn,around
94,wrap,around
95,pot,ash
96,dumb,ass
97,jack,ass
98,jack,asses
99,counter,attraction
100,grand,aunt
101,grand,aunts
102,chin,aware
103,break,away
104,stow,away
105,straight,away
106,get,away
107,cast,away
108,throw,away
109,tear,away
110,take,away
111,cut,away
112,run,away
113,give,away
114,hide,away
115,are,away
116,walk,away
117,walk,aways
118,hide,aways
119,run,aways
120,cut,aways
121,cast,aways
122,get,aways
123,straight,aways
124,break,aways
125,give,aways
126,stow,aways
127,brad,awl
128,brad,awls
129,pole,axe
130,pick,axe
131,broad,axe
132,break,axe
133,pick,axes
134,pole,axes
135,cry,babies
136,bush,baby
137,cry,baby
138,razor,back
139,die,back
140,crook,back
141,prickle,back
142,sling,back
143,wet,back
144,throw,back
145,canvas,back
146,paper,back
147,claw,back
148,feed,back
149,hump,back
150,full,back
151,kick,back
152,flash,back
153,half,back
154,grey,back
155,green,back
156,fat,back
157,buy,back
158,lobster,back
159,blow,back
160,tie,back
161,hard,back
162,hunch,back
163,quarter,back
164,out,back
165,fall,back
166,touch,back
167,cut,back
168,roll,back
169,horse,back
170,corner,back
171,draw,back
172,hatch,back
173,call,back
174,saddle,back
175,diamond,back
176,leather,back
177,piggy,back
178,pay,back
179,gray,back
180,hog,back
181,play,back
182,tail,back
183,set,back
184,wing,back
185,moss,back
186,fin,back
187,pull,back
188,soft,back
189,silver,back
190,line,backer
191,line,backers
192,half,backs
193,call,backs
194,piggy,backs
195,tie,backs
196,tail,backs
197,cut,backs
198,hump,backs
199,hog,backs
200,play,backs
201,quarter,backs
202,hard,backs
203,full,backs
204,pay,backs
205,green,backs
206,diamond,backs
207,razor,backs
208,out,backs
209,hunch,backs
210,roll,backs
211,pull,backs
212,flash,backs
213,kick,backs
214,canvas,backs
215,moss,backs
216,hatch,backs
217,draw,backs
218,paper,backs
219,buy,backs
220,chaw,bacon
221,school,bag
222,bean,bag
223,gas,bag
224,feed,bag
225,money,bag
226,hand,bag
227,game,bag
228,saddle,bag
229,kit,bag
230,carpet,bag
231,sick,bag
232,sand,bag
233,work,bag
234,flea,bag
235,wind,bag
236,mail,bag
237,post,bag
238,rag,bag
239,nose,bag
240,sea,bag
241,carpet,bagger
242,sand,bagger
243,nose,bags
244,saddle,bags
245,feed,bags
246,mail,bags
247,carpet,bags
248,wind,bags
249,gas,bags
250,post,bags
251,bean,bags
252,sand,bags
253,hand,bags
254,flea,bags
255,money,bags
256,school,bags
257,white,bait
258,crow,bait
259,hard,bake
260,clam,bake
261,clam,bakes
262,beach,ball
263,ground,ball
264,hard,ball
